UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO
050911,Ayacucho,SUCRE,SORAS
051002,Ayacucho,VICTOR FAJARDO,ALCAMENCA
051003,Ayacucho,VICTOR FAJARDO,APONGO
051004,Ayacucho,VICTOR FAJARDO,ASQUIPATA
051005,Ayacucho,VICTOR FAJARDO,CANARIA
051006,Ayacucho,VICTOR FAJARDO,CAYARA
051007,Ayacucho,VICTOR FAJARDO,COLCA
051010,Ayacucho,VICTOR FAJARDO,HUALLA
051008,Ayacucho,VICTOR FAJARDO,HUAMANQUIQUIA
051001,Ayacucho,VICTOR FAJARDO,HUANCAPI
051009,Ayacucho,VICTOR FAJARDO,HUANCARAYLLA
051011,Ayacucho,VICTOR FAJARDO,SARHUA
051012,Ayacucho,VICTOR FAJARDO,VILCANCHOS
051102,Ayacucho,VILCAS HUAMAN,ACCOMARCA
051103,Ayacucho,VILCAS HUAMAN,CARHUANCA
051104,Ayacucho,VILCAS HUAMAN,CONCEPCION
051105,Ayacucho,VILCAS HUAMAN,HUAMBALPA
051106,Ayacucho,VILCAS HUAMAN,INDEPENDENCIA
051107,Ayacucho,VILCAS HUAMAN,SAURAMA
051101,Ayacucho,VILCAS HUAMAN,VILCAS HUAMAN
051108,Ayacucho,VILCAS HUAMAN,VISCHONGO
060202,Cajamarca,CAJABAMBA,CACHACHI
060201,Cajamarca,CAJABAMBA,CAJABAMBA
060203,Cajamarca,CAJABAMBA,CONDEBAMBA
060204,Cajamarca,CAJABAMBA,SITACOCHA
060102,Cajamarca,CAJAMARCA,ASUNCION
060101,Cajamarca,CAJAMARCA,CAJAMARCA
060103,Cajamarca,CAJAMARCA,CHETILLA
060104,Cajamarca,CAJAMARCA,COSPAN
060105,Cajamarca,CAJAMARCA,ENCAÑADA
060106,Cajamarca,CAJAMARCA,JESUS
060107,Cajamarca,CAJAMARCA,LLACANORA
060108,Cajamarca,CAJAMARCA,LOS BAÑOS DEL INCA
060109,Cajamarca,CAJAMARCA,MAGDALENA
060110,Cajamarca,CAJAMARCA,MATARA
060111,Cajamarca,CAJAMARCA,NAMORA
060112,Cajamarca,CAJAMARCA,SAN JUAN
060301,Cajamarca,CELENDIN,CELENDIN
060302,Cajamarca,CELENDIN,CHUMUCH
060303,Cajamarca,CELENDIN,CORTEGANA
060304,Cajamarca,CELENDIN,HUASMIN
060305,Cajamarca,CELENDIN,JORGE CHAVEZ
060306,Cajamarca,CELENDIN,JOSE GALVEZ
060312,Cajamarca,CELENDIN,LA LIBERTAD DE PALLAN
060307,Cajamarca,CELENDIN,MIGUEL IGLESIAS
060308,Cajamarca,CELENDIN,OXAMARCA
060309,Cajamarca,CELENDIN,SOROCHUCO
060310,Cajamarca,CELENDIN,SUCRE
060311,Cajamarca,CELENDIN,UTCO
060402,Cajamarca,CHOTA,ANGUIA
060403,Cajamarca,CHOTA,CHADIN
060419,Cajamarca,CHOTA,CHALAMARCA
060404,Cajamarca,CHOTA,CHIGUIRIP
060405,Cajamarca,CHOTA,CHIMBAN
060406,Cajamarca,CHOTA,CHOROPAMPA
060401,Cajamarca,CHOTA,CHOTA
060407,Cajamarca,CHOTA,COCHABAMBA
060408,Cajamarca,CHOTA,CONCHAN
060409,Cajamarca,CHOTA,HUAMBOS
060410,Cajamarca,CHOTA,LAJAS
060411,Cajamarca,CHOTA,LLAMA
060412,Cajamarca,CHOTA,MIRACOSTA
060413,Cajamarca,CHOTA,PACCHA
060414,Cajamarca,CHOTA,PION
060415,Cajamarca,CHOTA,QUEROCOTO
060416,Cajamarca,CHOTA,SAN JUAN DE LICUPIS
060417,Cajamarca,CHOTA,TACABAMBA
060418,Cajamarca,CHOTA,TOCMOCHE
060502,Cajamarca,CONTUMAZA,CHILETE
060501,Cajamarca,CONTUMAZA,CONTUMAZA
060503,Cajamarca,CONTUMAZA,CUPISNIQUE
060504,Cajamarca,CONTUMAZA,GUZMANGO
060505,Cajamarca,CONTUMAZA,SAN BENITO
060506,Cajamarca,CONTUMAZA,SANTA CRUZ DE TOLED
060507,Cajamarca,CONTUMAZA,TANTARICA
060508,Cajamarca,CONTUMAZA,YONAN
060602,Cajamarca,CUTERVO,CALLAYUC
060603,Cajamarca,CUTERVO,CHOROS
060604,Cajamarca,CUTERVO,CUJILLO
060601,Cajamarca,CUTERVO,CUTERVO
060605,Cajamarca,CUTERVO,LA RAMADA
060606,Cajamarca,CUTERVO,PIMPINGOS
060607,Cajamarca,CUTERVO,QUEROCOTILLO
060608,Cajamarca,CUTERVO,SAN ANDRES DE CUTERVO
060609,Cajamarca,CUTERVO,SAN JUAN DE CUTERVO
060610,Cajamarca,CUTERVO,SAN LUIS DE LUCMA
060611,Cajamarca,CUTERVO,SANTA CRUZ
060612,Cajamarca,CUTERVO,SANTO DOMINGO DE LA CAPILLA
060613,Cajamarca,CUTERVO,SANTO TOMAS
060614,Cajamarca,CUTERVO,SOCOTA
060615,Cajamarca,CUTERVO,TORIBIO CASANOVA
060701,Cajamarca,HUALGAYOC,BAMBAMARCA
060702,Cajamarca,HUALGAYOC,CHUGUR
060703,Cajamarca,HUALGAYOC,HUALGAYOC
060802,Cajamarca,JAEN,BELLAVISTA
060803,Cajamarca,JAEN,CHONTALI
060804,Cajamarca,JAEN,COLASAY
060805,Cajamarca,JAEN,HUABAL
060801,Cajamarca,JAEN,JAEN
060806,Cajamarca,JAEN,LAS PIRIAS
060807,Cajamarca,JAEN,POMAHUACA
060808,Cajamarca,JAEN,PUCARA
060809,Cajamarca,JAEN,SALLIQUE
060810,Cajamarca,JAEN,SAN FELIPE
060811,Cajamarca,JAEN,SAN JOSE DEL ALTO
060812,Cajamarca,JAEN,SANTA ROSA
060902,Cajamarca,SAN IGNACIO,CHIRINOS
060903,Cajamarca,SAN IGNACIO,HUARANGO
060904,Cajamarca,SAN IGNACIO,LA COIPA
060905,Cajamarca,SAN IGNACIO,NAMBALLE
060901,Cajamarca,SAN IGNACIO,SAN IGNACIO
060906,Cajamarca,SAN IGNACIO,SAN JOSE DE LOURDES
060907,Cajamarca,SAN IGNACIO,TABACONAS
061002,Cajamarca,SAN MARCOS,CHANCAY
061003,Cajamarca,SAN MARCOS,EDUARDO VILLANUEVA
061004,Cajamarca,SAN MARCOS,GREGORIO PITA
061005,Cajamarca,SAN MARCOS,ICHOCAN
061006,Cajamarca,SAN MARCOS,JOSE MANUEL QUIROZ
061007,Cajamarca,SAN MARCOS,JOSE SABOGAL
061001,Cajamarca,SAN MARCOS,PEDRO GALVEZ
061102,Cajamarca,SAN MIGUEL,BOLIVAR
061103,Cajamarca,SAN MIGUEL,CALQUIS
061104,Cajamarca,SAN MIGUEL,CATILLUC
061105,Cajamarca,SAN MIGUEL,EL PRADO
061106,Cajamarca,SAN MIGUEL,LA FLORIDA
061107,Cajamarca,SAN MIGUEL,LLAPA
061108,Cajamarca,SAN MIGUEL,NANCHOC
061109,Cajamarca,SAN MIGUEL,NIEPOS
061110,Cajamarca,SAN MIGUEL,SAN GREGORIO
061101,Cajamarca,SAN MIGUEL,SAN MIGUEL
061111,Cajamarca,SAN MIGUEL,SAN SILVESTRE DE COCHAN
061112,Cajamarca,SAN MIGUEL,TONGOD
061113,Cajamarca,SAN MIGUEL,UNION AGUA BLANCA
061202,Cajamarca,SAN PABLO,SAN BERNARDINO
061203,Cajamarca,SAN PABLO,SAN LUIS
061201,Cajamarca,SAN PABLO,SAN PABLO
061204,Cajamarca,SAN PABLO,TUMBADEN
061302,Cajamarca,SANTA CRUZ,ANDABAMBA
061303,Cajamarca,SANTA CRUZ,CATACHE
061304,Cajamarca,SANTA CRUZ,CHANCAYBAÑOS
061305,Cajamarca,SANTA CRUZ,LA ESPERANZA
061306,Cajamarca,SANTA CRUZ,NINABAMBA
061307,Cajamarca,SANTA CRUZ,PULAN
061301,Cajamarca,SANTA CRUZ,SANTA CRUZ
061308,Cajamarca,SANTA CRUZ,SAUCEPAMPA
061309,Cajamarca,SANTA CRUZ,SEXI
061310,Cajamarca,SANTA CRUZ,UTICYACU
061311,Cajamarca,SANTA CRUZ,YAUYUCAN
080201,Cusco,ACOMAYO,ACOMAYO
080202,Cusco,ACOMAYO,ACOPIA
080203,Cusco,ACOMAYO,ACOS
080204,Cusco,ACOMAYO,MOSOC LLACTA
080205,Cusco,ACOMAYO,POMACANCHI
080206,Cusco,ACOMAYO,RONDOCAN
080207,Cusco,ACOMAYO,SANGARARA
080302,Cusco,ANTA,ANCAHUASI
080301,Cusco,ANTA,ANTA
080303,Cusco,ANTA,CACHIMAYO
080304,Cusco,ANTA,CHINCHAYPUJIO
080305,Cusco,ANTA,HUAROCONDO
080306,Cusco,ANTA,LIMATAMBO
080307,Cusco,ANTA,MOLLEPATA
080308,Cusco,ANTA,PUCYURA
080309,Cusco,ANTA,ZURITE
080401,Cusco,CALCA,CALCA
080402,Cusco,CALCA,COYA
080403,Cusco,CALCA,LAMAY
080404,Cusco,CALCA,LARES
080405,Cusco,CALCA,PISAC
080406,Cusco,CALCA,SAN SALVADOR
080407,Cusco,CALCA,TARAY
080408,Cusco,CALCA,YANATILE
080502,Cusco,CANAS,CHECCA
080503,Cusco,CANAS,KUNTURKANKI
080504,Cusco,CANAS,LANGUI
080505,Cusco,CANAS,LAYO
080506,Cusco,CANAS,PAMPAMARCA
080507,Cusco,CANAS,QUEHUE
080508,Cusco,CANAS,TUPAC AMARU
080501,Cusco,CANAS,YANAOCA
080602,Cusco,CANCHIS,CHECACUPE
080603,Cusco,CANCHIS,COMBAPATA
080604,Cusco,CANCHIS,MARANGANI
080605,Cusco,CANCHIS,PITUMARCA
080606,Cusco,CANCHIS,SAN PABLO
080607,Cusco,CANCHIS,SAN PEDRO
080601,Cusco,CANCHIS,SICUANI
080608,Cusco,CANCHIS,TINTA
080702,Cusco,CHUMBIVILCAS,CAPACMARCA
080703,Cusco,CHUMBIVILCAS,CHAMACA
080704,Cusco,CHUMBIVILCAS,COLQUEMARCA
080705,Cusco,CHUMBIVILCAS,LIVITACA
080706,Cusco,CHUMBIVILCAS,LLUSCO
080707,Cusco,CHUMBIVILCAS,QUIÑOTA
080701,Cusco,CHUMBIVILCAS,SANTO TOMAS
080708,Cusco,CHUMBIVILCAS,VELILLE
080102,Cusco,CUSCO,CCORCA
080101,Cusco,CUSCO,CUSCO
080103,Cusco,CUSCO,POROY
080104,Cusco,CUSCO,SAN JERONIMO
080105,Cusco,CUSCO,SAN SEBASTIAN
080106,Cusco,CUSCO,SANTIAGO
080107,Cusco,CUSCO,SAYLLA
080108,Cusco,CUSCO,WANCHAQ
080808,Cusco,ESPINAR,ALTO PICHIGUA
080802,Cusco,ESPINAR,CONDOROMA
080803,Cusco,ESPINAR,COPORAQUE
080801,Cusco,ESPINAR,ESPINAR
080804,Cusco,ESPINAR,OCORURO
080805,Cusco,ESPINAR,PALLPATA
080806,Cusco,ESPINAR,PICHIGUA
080807,Cusco,ESPINAR,SUYCKUTAMBO
080916,Cusco,LA CONVENCION,CIELO PUNCO
080902,Cusco,LA CONVENCION,ECHARATE
080903,Cusco,LA CONVENCION,HUAYOPATA
080911,Cusco,LA CONVENCION,INKAWASI
080907,Cusco,LA CONVENCION,KIMBIRI
080915,Cusco,LA CONVENCION,KUMPIRUSHIATO
080917,Cusco,LA CONVENCION,MANITEA
080904,Cusco,LA CONVENCION,MARANURA
080914,Cusco,LA CONVENCION,MEGANTONI
080905,Cusco,LA CONVENCION,OCOBAMBA
080910,Cusco,LA CONVENCION,PICHARI
080906,Cusco,LA CONVENCION,QUELLOUNO
080901,Cusco,LA CONVENCION,SANTA ANA
080908,Cusco,LA CONVENCION,SANTA TERESA
080918,Cusco,LA CONVENCION,UNION ASHANINKA
080909,Cusco,LA CONVENCION,VILCABAMBA
080913,Cusco,LA CONVENCION,VILLA KINTIARINA
080912,Cusco,LA CONVENCION,VILLA VIRGEN
081002,Cusco,PARURO,ACCHA
081003,Cusco,PARURO,CCAPI
081004,Cusco,PARURO,COLCHA
081005,Cusco,PARURO,HUANOQUITE
081006,Cusco,PARURO,OMACHA
081007,Cusco,PARURO,PACCARITAMBO
081001,Cusco,PARURO,PARURO
081008,Cusco,PARURO,PILLPINTO
081009,Cusco,PARURO,YAURISQUE
081102,Cusco,PAUCARTAMBO,CAICAY
081103,Cusco,PAUCARTAMBO,CHALLABAMBA
081104,Cusco,PAUCARTAMBO,COLQUEPATA
081105,Cusco,PAUCARTAMBO,HUANCARANI
081106,Cusco,PAUCARTAMBO,KOSÑIPATA
081101,Cusco,PAUCARTAMBO,PAUCARTAMBO
081202,Cusco,QUISPICANCHI,ANDAHUAYLILLAS
081203,Cusco,QUISPICANCHI,CAMANTI
081204,Cusco,QUISPICANCHI,CCARHUAYO
081205,Cusco,QUISPICANCHI,CCATCA
081206,Cusco,QUISPICANCHI,CUSIPATA
081207,Cusco,QUISPICANCHI,HUARO
081208,Cusco,QUISPICANCHI,LUCRE
081209,Cusco,QUISPICANCHI,MARCAPATA
081210,Cusco,QUISPICANCHI,OCONGATE
081211,Cusco,QUISPICANCHI,OROPESA
081212,Cusco,QUISPICANCHI,QUIQUIJANA
081201,Cusco,QUISPICANCHI,URCOS
081302,Cusco,URUBAMBA,CHINCHERO
081303,Cusco,URUBAMBA,HUAYLLABAMBA
081304,Cusco,URUBAMBA,MACHUPICCHU
081305,Cusco,URUBAMBA,MARAS
081306,Cusco,URUBAMBA,OLLANTAYTAMBO
081301,Cusco,URUBAMBA,URUBAMBA
081307,Cusco,URUBAMBA,YUCAY
070102,El Callao,CALLAO,BELLAVISTA
070101,El Callao,CALLAO,CALLAO
070103,El Callao,CALLAO,CARMEN DE LA LEGUA REYNOSO
070104,El Callao,CALLAO,LA PERLA
070105,El Callao,CALLAO,LA PUNTA
070107,El Callao,CALLAO,MI PERU
070106,El Callao,CALLAO,VENTANILLA
090201,Huancavelica,ACOBAMBA,ACOBAMBA
090202,Huancavelica,ACOBAMBA,ANDABAMBA
090203,Huancavelica,ACOBAMBA,ANTA
090204,Huancavelica,ACOBAMBA,CAJA
090205,Huancavelica,ACOBAMBA,MARCAS
090206,Huancavelica,ACOBAMBA,PAUCARA
090207,Huancavelica,ACOBAMBA,POMACOCHA
090208,Huancavelica,ACOBAMBA,ROSARIO
090302,Huancavelica,ANGARAES,ANCHONGA
090303,Huancavelica,ANGARAES,CALLANMARCA
090304,Huancavelica,ANGARAES,CCOCHACCASA
090305,Huancavelica,ANGARAES,CHINCHO
090306,Huancavelica,ANGARAES,CONGALLA
090307,Huancavelica,ANGARAES,HUANCA-HUANCA
090308,Huancavelica,ANGARAES,HUAYLLAY GRANDE
090309,Huancavelica,ANGARAES,JULCAMARCA
090301,Huancavelica,ANGARAES,LIRCAY
090310,Huancavelica,ANGARAES,SAN ANTONIO DE ANTAPARCO
090311,Huancavelica,ANGARAES,SANTO TOMAS DE PATA
090312,Huancavelica,ANGARAES,SECCLLA
090402,Huancavelica,CASTROVIRREYNA,ARMA
090403,Huancavelica,CASTROVIRREYNA,AURAHUA
090404,Huancavelica,CASTROVIRREYNA,CAPILLAS
090401,Huancavelica,CASTROVIRREYNA,CASTROVIRREYNA
090405,Huancavelica,CASTROVIRREYNA,CHUPAMARCA
090406,Huancavelica,CASTROVIRREYNA,COCAS
090407,Huancavelica,CASTROVIRREYNA,HUACHOS
090408,Huancavelica,CASTROVIRREYNA,HUAMATAMBO
090409,Huancavelica,CASTROVIRREYNA,MOLLEPAMPA
090410,Huancavelica,CASTROVIRREYNA,SAN JUAN
090411,Huancavelica,CASTROVIRREYNA,SANTA ANA
090412,Huancavelica,CASTROVIRREYNA,TANTARA
090413,Huancavelica,CASTROVIRREYNA,TICRAPO
090502,Huancavelica,CHURCAMPA,ANCO
090503,Huancavelica,CHURCAMPA,CHINCHIHUASI
090501,Huancavelica,CHURCAMPA,CHURCAMPA
090511,Huancavelica,CHURCAMPA,COSME
090504,Huancavelica,CHURCAMPA,EL CARMEN
090505,Huancavelica,CHURCAMPA,LA MERCED
090506,Huancavelica,CHURCAMPA,LOCROJA
090510,Huancavelica,CHURCAMPA,PACHAMARCA
090507,Huancavelica,CHURCAMPA,PAUCARBAMBA
090508,Huancavelica,CHURCAMPA,SAN MIGUEL DE MAYOCC
090509,Huancavelica,CHURCAMPA,SAN PEDRO DE CORIS
090102,Huancavelica,HUANCAVELICA,ACOBAMBILLA
090103,Huancavelica,HUANCAVELICA,ACORIA
090118,Huancavelica,HUANCAVELICA,ASCENSION
090104,Huancavelica,HUANCAVELICA,CONAYCA
090105,Huancavelica,HUANCAVELICA,CUENCA
090106,Huancavelica,HUANCAVELICA,HUACHOCOLPA
090101,Huancavelica,HUANCAVELICA,HUANCAVELICA
090119,Huancavelica,HUANCAVELICA,HUANDO
090107,Huancavelica,HUANCAVELICA,HUAYLLAHUARA
090108,Huancavelica,HUANCAVELICA,IZCUCHACA
090109,Huancavelica,HUANCAVELICA,LARIA
090110,Huancavelica,HUANCAVELICA,MANTA
090111,Huancavelica,HUANCAVELICA,MARISCAL CACERES
090112,Huancavelica,HUANCAVELICA,MOYA
090113,Huancavelica,HUANCAVELICA,NUEVO OCCORO
090114,Huancavelica,HUANCAVELICA,PALCA
090115,Huancavelica,HUANCAVELICA,PILCHACA
090116,Huancavelica,HUANCAVELICA,VILCA
090117,Huancavelica,HUANCAVELICA,YAULI
090602,Huancavelica,HUAYTARA,AYAVI
090603,Huancavelica,HUAYTARA,CORDOVA
090604,Huancavelica,HUAYTARA,HUAYACUNDO ARMA
090601,Huancavelica,HUAYTARA,HUAYTARA
090605,Huancavelica,HUAYTARA,LARAMARCA
090606,Huancavelica,HUAYTARA,OCOYO
090607,Huancavelica,HUAYTARA,PILPICHACA
090608,Huancavelica,HUAYTARA,QUERCO
090609,Huancavelica,HUAYTARA,QUITO ARMA
090610,Huancavelica,HUAYTARA,SAN ANTONIO DE CUSICANCHA
090611,Huancavelica,HUAYTARA,SAN FRANCISCO DE SANGAYAICO
090612,Huancavelica,HUAYTARA,SAN ISIDRO
090613,Huancavelica,HUAYTARA,SANTIAGO DE CHOCORVOS
090614,Huancavelica,HUAYTARA,SANTIAGO DE QUIRAHUARA
090615,Huancavelica,HUAYTARA,SANTO DOMINGO DE CAPILLAS
090616,Huancavelica,HUAYTARA,TAMBO
090702,Huancavelica,TAYACAJA,ACOSTAMBO
090703,Huancavelica,TAYACAJA,ACRAQUIA
090704,Huancavelica,TAYACAJA,AHUAYCHA
090720,Huancavelica,TAYACAJA,ANDAYMARCA
090725,Huancavelica,TAYACAJA,COCHABAMBA
090705,Huancavelica,TAYACAJA,COLCABAMBA
090706,Huancavelica,TAYACAJA,DANIEL HERNANDEZ
090707,Huancavelica,TAYACAJA,HUACHOCOLPA
090709,Huancavelica,TAYACAJA,HUARIBAMBA
090724,Huancavelica,TAYACAJA,LAMBRAS
090701,Huancavelica,TAYACAJA,PAMPAS
090711,Huancavelica,TAYACAJA,PAZOS
090722,Huancavelica,TAYACAJA,PICHOS
090719,Huancavelica,TAYACAJA,QUICHUAS
090713,Huancavelica,TAYACAJA,QUISHUAR
090721,Huancavelica,TAYACAJA,ROBLE
090714,Huancavelica,TAYACAJA,SALCABAMBA
090715,Huancavelica,TAYACAJA,SALCAHUASI
090716,Huancavelica,TAYACAJA,SAN MARCOS DE ROCCHAC
090723,Huancavelica,TAYACAJA,SANTIAGO DE TUCUMA
090717,Huancavelica,TAYACAJA,SURCUBAMBA
090718,Huancavelica,TAYACAJA,TINTAY PUNCU
090710,Huancavelica,TAYACAJA,ÑAHUIMPUQUIO
100201,Huánuco,AMBO,AMBO
100202,Huánuco,AMBO,CAYNA
100203,Huánuco,AMBO,COLPAS
100204,Huánuco,AMBO,CONCHAMARCA
100205,Huánuco,AMBO,HUACAR
100206,Huánuco,AMBO,SAN FRANCISCO
100207,Huánuco,AMBO,SAN RAFAEL
100208,Huánuco,AMBO,TOMAY KICHWA
100307,Huánuco,DOS DE MAYO,CHUQUIS
100301,Huánuco,DOS DE MAYO,LA UNION
100311,Huánuco,DOS DE MAYO,MARIAS
100313,Huánuco,DOS DE MAYO,PACHAS
100316,Huánuco,DOS DE MAYO,QUIVILLA
100317,Huánuco,DOS DE MAYO,RIPAN
100321,Huánuco,DOS DE MAYO,SHUNQUI
100322,Huánuco,DOS DE MAYO,SILLAPATA
100323,Huánuco,DOS DE MAYO,YANAS
100402,Huánuco,HUACAYBAMBA,CANCHABAMBA
100403,Huánuco,HUACAYBAMBA,COCHABAMBA
100401,Huánuco,HUACAYBAMBA,HUACAYBAMBA
100404,Huánuco,HUACAYBAMBA,PINRA
100502,Huánuco,HUAMALIES,ARANCAY
100503,Huánuco,HUAMALIES,CHAVIN DE PARIARCA
100504,Huánuco,HUAMALIES,JACAS GRANDE
100505,Huánuco,HUAMALIES,JIRCAN
100501,Huánuco,HUAMALIES,LLATA
100506,Huánuco,HUAMALIES,MIRAFLORES
100507,Huánuco,HUAMALIES,MONZON
100508,Huánuco,HUAMALIES,PUNCHAO
100509,Huánuco,HUAMALIES,PUÑOS
100510,Huánuco,HUAMALIES,SINGA
100511,Huánuco,HUAMALIES,TANTAMAYO
100102,Huánuco,HUANUCO,AMARILIS
100103,Huánuco,HUANUCO,CHINCHAO
100104,Huánuco,HUANUCO,CHURUBAMBA
100101,Huánuco,HUANUCO,HUANUCO
100105,Huánuco,HUANUCO,MARGOS
100111,Huánuco,HUANUCO,PILLCO MARCA
100106,Huánuco,HUANUCO,QUISQUI (KICHKI)
100107,Huánuco,HUANUCO,SAN FRANCISCO DE CAYRAN
100113,Huánuco,HUANUCO,SAN PABLO DE PILLAO
100108,Huánuco,HUANUCO,SAN PEDRO DE CHAULAN
100109,Huánuco,HUANUCO,SANTA MARIA DEL VALLE
100112,Huánuco,HUANUCO,YACUS
100110,Huánuco,HUANUCO,YARUMAYO
101002,Huánuco,LAURICOCHA,BAÑOS
101001,Huánuco,LAURICOCHA,JESUS
101003,Huánuco,LAURICOCHA,JIVIA
101004,Huánuco,LAURICOCHA,QUEROPALCA
101005,Huánuco,LAURICOCHA,RONDOS
101006,Huánuco,LAURICOCHA,SAN FRANCISCO DE ASIS
101007,Huánuco,LAURICOCHA,SAN MIGUEL DE CAURI
100608,Huánuco,LEONCIO PRADO,CASTILLO GRANDE
100602,Huánuco,LEONCIO PRADO,DANIEL ALOMIA ROBLES
100603,Huánuco,LEONCIO PRADO,HERMILIO VALDIZAN
100604,Huánuco,LEONCIO PRADO,JOSE CRESPO Y CASTILLO
100605,Huánuco,LEONCIO PRADO,LUYANDO
100606,Huánuco,LEONCIO PRADO,MARIANO DAMASO BERAUN
100607,Huánuco,LEONCIO PRADO,PUCAYACU
100609,Huánuco,LEONCIO PRADO,PUEBLO NUEVO
100601,Huánuco,LEONCIO PRADO,RUPA-RUPA
100610,Huánuco,LEONCIO PRADO,SANTO DOMINGO DE ANDA
100702,Huánuco,MARAÑON,CHOLON
100701,Huánuco,MARAÑON,HUACRACHUCO
100704,Huánuco,MARAÑON,LA MORADA
100703,Huánuco,MARAÑON,SAN BUENAVENTURA
100705,Huánuco,MARAÑON,SANTA ROSA DE ALTO YANAJANCA
100802,Huánuco,PACHITEA,CHAGLLA
100803,Huánuco,PACHITEA,MOLINO
100801,Huánuco,PACHITEA,PANAO
100804,Huánuco,PACHITEA,UMARI
100902,Huánuco,PUERTO INCA,CODO DEL POZUZO
100903,Huánuco,PUERTO INCA,HONORIA
100901,Huánuco,PUERTO INCA,PUERTO INCA
100904,Huánuco,PUERTO INCA,TOURNAVISTA
100905,Huánuco,PUERTO INCA,YUYAPICHIS
101104,Huánuco,YAROWILCA,APARICIO POMARES
101102,Huánuco,YAROWILCA,CAHUAC
101103,Huánuco,YAROWILCA,CHACABAMBA
101101,Huánuco,YAROWILCA,CHAVINILLO
101108,Huánuco,YAROWILCA,CHORAS
101105,Huánuco,YAROWILCA,JACAS CHICO
101106,Huánuco,YAROWILCA,OBAS
101107,Huánuco,YAROWILCA,PAMPAMARCA
110202,Ica,CHINCHA,ALTO LARAN
110203,Ica,CHINCHA,CHAVIN
110201,Ica,CHINCHA,CHINCHA ALTA
110204,Ica,CHINCHA,CHINCHA BAJA
110205,Ica,CHINCHA,EL CARMEN
110206,Ica,CHINCHA,GROCIO PRADO
110207,Ica,CHINCHA,PUEBLO NUEVO
110208,Ica,CHINCHA,SAN JUAN DE YANAC
110209,Ica,CHINCHA,SAN PEDRO DE HUACARPANA
110210,Ica,CHINCHA,SUNAMPE
110211,Ica,CHINCHA,TAMBO DE MORA
110101,Ica,ICA,ICA
110102,Ica,ICA,LA TINGUIÑA
110103,Ica,ICA,LOS AQUIJES
110104,Ica,ICA,OCUCAJE
110105,Ica,ICA,PACHACUTEC
110106,Ica,ICA,PARCONA
110107,Ica,ICA,PUEBLO NUEVO
110108,Ica,ICA,SALAS
110109,Ica,ICA,SAN JOSE DE LOS MOLINOS
110110,Ica,ICA,SAN JUAN BAUTISTA
110111,Ica,ICA,SANTIAGO
110112,Ica,ICA,SUBTANJALLA
110113,Ica,ICA,TATE
110114,Ica,ICA,YAUCA DEL ROSARIO
110302,Ica,NAZCA,CHANGUILLO
110303,Ica,NAZCA,EL INGENIO
110304,Ica,NAZCA,MARCONA
110301,Ica,NAZCA,NAZCA
110305,Ica,NAZCA,VISTA ALEGRE
110402,Ica,PALPA,LLIPATA
110401,Ica,PALPA,PALPA
110403,Ica,PALPA,RIO GRANDE
110404,Ica,PALPA,SANTA CRUZ
110405,Ica,PALPA,TIBILLO
110502,Ica,PISCO,HUANCANO
110503,Ica,PISCO,HUMAY
110504,Ica,PISCO,INDEPENDENCIA
110505,Ica,PISCO,PARACAS
110501,Ica,PISCO,PISCO
110506,Ica,PISCO,SAN ANDRES
110507,Ica,PISCO,SAN CLEMENTE
110508,Ica,PISCO,TUPAC AMARU INCA
120301,Junín,CHANCHAMAYO,CHANCHAMAYO
120302,Junín,CHANCHAMAYO,PERENE
120303,Junín,CHANCHAMAYO,PICHANAQUI
120304,Junín,CHANCHAMAYO,SAN LUIS DE SHUARO
120305,Junín,CHANCHAMAYO,SAN RAMON
120306,Junín,CHANCHAMAYO,VITOC
120902,Junín,CHUPACA,AHUAC
120903,Junín,CHUPACA,CHONGOS BAJO
120901,Junín,CHUPACA,CHUPACA
120904,Junín,CHUPACA,HUACHAC
120905,Junín,CHUPACA,HUAMANCACA CHICO
120906,Junín,CHUPACA,SAN JUAN DE ISCOS
120907,Junín,CHUPACA,SAN JUAN DE JARPA
120908,Junín,CHUPACA,TRES DE DICIEMBRE
120909,Junín,CHUPACA,YANACANCHA
120202,Junín,CONCEPCION,ACO
120203,Junín,CONCEPCION,ANDAMARCA
120204,Junín,CONCEPCION,CHAMBARA
120205,Junín,CONCEPCION,COCHAS
120206,Junín,CONCEPCION,COMAS
120201,Junín,CONCEPCION,CONCEPCION
120207,Junín,CONCEPCION,HEROINAS TOLEDO
120208,Junín,CONCEPCION,MANZANARES
120209,Junín,CONCEPCION,MARISCAL CASTILLA
120210,Junín,CONCEPCION,MATAHUASI
120211,Junín,CONCEPCION,MITO
120212,Junín,CONCEPCION,NUEVE DE JULIO
120213,Junín,CONCEPCION,ORCOTUNA
120214,Junín,CONCEPCION,SAN JOSE DE QUERO
120215,Junín,CONCEPCION,SANTA ROSA DE OCOPA
120104,Junín,HUANCAYO,CARHUACALLANGA
120105,Junín,HUANCAYO,CHACAPAMPA
120106,Junín,HUANCAYO,CHICCHE
120107,Junín,HUANCAYO,CHILCA
120108,Junín,HUANCAYO,CHONGOS ALTO
120111,Junín,HUANCAYO,CHUPURO
120112,Junín,HUANCAYO,COLCA
120113,Junín,HUANCAYO,CULLHUAS
120114,Junín,HUANCAYO,EL TAMBO
120116,Junín,HUANCAYO,HUACRAPUQUIO
